Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
47,BRITANNIA,Britannia Industries Limited,10410689
48,VEDL,Vedanta Limited,10201853
49,GODREJCP,Godrej Consumer Products Limited,9901225
50,DABUR,Dabur India Limited,9654339
51,ATGL,Adani Total Gas Limited,9543602
52,SHREECEM,SHREE CEMENT LIMITED,9448447
53,HAL,Hindustan Aeronautics Limited,9132457
54,HINDALCO,Hindalco Industries Limited,9109003
55,VBL,Varun Beverages Limited,9009370
56,DLF,DLF Limited,8829449
57,BANKBARODA,Bank of Baroda,8731845
58,INDUSINDBK,IndusInd Bank Limited,8285788
59,EICHERMOT,Eicher Motors Limited,8064561
60,DRREDDY,Dr. Reddy's Laboratories Limited,7698120
61,DIVISLAB,Divi's Laboratories Limited,7495107
62,BPCL,Bharat Petroleum Corporation Limited,7468737
63,HAVELLS,Havells India Limited,7446068
64,ADANIPOWER,Adani Power Limited,7389895
65,INDIGO,InterGlobe Aviation Limited,7366456
66,CIPLA,Cipla Limited,7268331
67,AMBUJACEM,Ambuja Cements Limited,7258526
68,SRF,SRF Limited,7149322
69,ABB,ABB India Limited,7131035
70,BEL,Bharat Electronics Limited,7130689
71,SBICARD,SBI Cards and Payment Services Limited,7002843
72,GAIL,GAIL (India) Limited,6913717
73,BAJAJHLDNG,Bajaj Holdings & Investment Limited,6588687
74,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,6585299
75,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,6267856
76,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,6258111
77,MARICO,Marico Limited,6204091
78,APOLLOHOSP,Apollo Hospitals Enterprise Limited,6198413
79,TATAPOWER,Tata Power Company Limited,6079133
80,BOSCHLTD,Bosch Limited,5712889
81,BERGEPAINT,Berger Paints (I) Limited,5650765
82,JINDALSTEL,Jindal Steel & Power Limited,5571721
83,MCDOWELL-N,United Spirits Limited,5500955
84,UPL,UPL Limited,5386736
85,AWL,Adani Wilmar Limited,5274746
86,ICICIGI,ICICI Lombard General Insurance Company Limited,5252551
87,TORNTPHARM,Torrent Pharmaceuticals Limited,5202414
88,CANBK,Canara Bank,5160294
89,PNB,Punjab National Bank,5131133
90,TVSMOTOR,TVS Motor Company Limited,5117638
91,ZYDUSLIFE,Zydus Lifesciences Limited,4975489
92,TIINDIA,Tube Investments of India Limited,4917996
93,TRENT,Trent Limited,4887775
94,IDBI,IDBI Bank Limited,4838581
95,NAUKRI,Info Edge (India) Limited,4810235
96,SHRIRAMFIN,Shriram Finance Limited,4715537
97,HEROMOTOCO,Hero MotoCorp Limited,4690938
98,INDHOTEL,The Indian Hotels Company Limited,4607069
99,PIIND,PI Industries Limited,4597362
100,IRCTC,Indian Railway Catering And Tourism Corporation Limited,4582400
101,CGPOWER,CG Power and Industrial Solutions Limited,4582158
102,UNIONBANK,Union Bank of India,4548524
103,MOTHERSON,Samvardhana Motherson International Limited,4546979
104,CUMMINSIND,Cummins India Limited,4517251
105,SCHAEFFLER,Schaeffler India Limited,4482086
106,LODHA,Macrotech Developers Limited,4482082
107,ZOMATO,Zomato Limited,4362290
108,PGHH,Procter & Gamble Hygiene and Health Care Limited,4330149
109,YESBANK,Yes Bank Limited,4327569
110,POLYCAB,Polycab India Limited,4313091
111,MAXHEALTH,Max Healthcare Institute Limited,4282467
112,IOB,Indian Overseas Bank,4243592
113,PAGEIND,Page Industries Limited,4227686
114,COLPAL,Colgate Palmolive (India) Limited,4099775
115,ASHOKLEY,Ashok Leyland Limited,4087089
116,ALKEM,Alkem Laboratories Limited,4060547
117,NHPC,NHPC Limited,4038104
118,PAYTM,One 97 Communications Limited,4035963
119,PFC,Power Finance Corporation Limited,4006324
120,JSWENERGY,JSW Energy Limited,3961201
121,MUTHOOTFIN,Muthoot Finance Limited,3933983
122,AUBANK,AU Small Finance Bank Limited,3861419
123,INDUSTOWER,Indus Towers Limited,3853760
124,BALKRISIND,Balkrishna Industries Limited,3772488
125,UBL,United Breweries Limited,3766319
126,ABCAPITAL,Aditya Birla Capital Limited,3712830
127,TATAELXSI,Tata Elxsi Limited,3711115
128,DALBHARAT,Dalmia Bharat Limited,3690082
129,HDFCAMC,HDFC Asset Management Company Limited,3644974
130,INDIANB,Indian Bank,3593720
131,ASTRAL,Astral Limited,3591337
132,BHARATFORG,Bharat Forge Limited,3587128
133,LTTS,L&T Technology Services Limited,3567802
134,MRF,MRF Limited,3564562
135,TATACOMM,Tata Communications Limited,3549675
136,NYKAA,FSN E-Commerce Ventures Limited,3543170
137,CONCOR,Container Corporation of India Limited,3535430
138,PERSISTENT,Persistent Systems Limited,3522810
139,PATANJALI,Patanjali Foods Limited,3508454
140,IRFC,Indian Railway Finance Corporation Limited,3476223
141,LINDEINDIA,Linde India Limited,3436826
142,IDFCFIRSTB,IDFC First Bank Limited,3435018
143,PETRONET,Petronet LNG Limited,3432750
144,SOLARINDS,Solar Industries India Limited,3431835
145,SAIL,Steel Authority of India Limited,3415944
146,MPHASIS,MphasiS Limited,3383194
147,HINDPETRO,Hindustan Petroleum Corporation Limited,3359122
148,APLAPOLLO,APL Apollo Tubes Limited,3342807
149,FLUOROCHEM,Gujarat Fluorochemicals Limited,3317690
150,NMDC,NMDC Limited,3269091
151,HONAUT,Honeywell Automation India Limited,3217006
152,SUPREMEIND,Supreme Industries Limited,3192884
153,GUJGASLTD,Gujarat Gas Limited,3163841
154,BANDHANBNK,Bandhan Bank Limited,3153212
155,ACC,ACC Limited,3130789
156,OBEROIRLTY,Oberoi Realty Limited,3063712
157,BANKINDIA,Bank of India,3063312
158,RECLTD,REC Limited,3040057
159,AUROPHARMA,Aurobindo Pharma Limited,3035748
160,STARHEALTH,Star Health and Allied Insurance Company Limited,3014834
161,IGL,Indraprastha Gas Limited,3000903
162,LUPIN,Lupin Limited,2950099
163,UCOBANK,UCO Bank,2905298
164,JUBLFOOD,Jubilant Foodworks Limited,2903979
165,POLICYBZR,PB Fintech Limited,2875793
166,GODREJPROP,Godrej Properties Limited,2866540
167,M&MFIN,Mahindra & Mahindra Financial Services Limited,2862105
168,IDEA,Vodafone Idea Limited,2823422
169,OFSS,Oracle Financial Services Software Limited,2819710
170,FEDERALBNK,The Federal Bank  Limited,2801027
171,MANYAVAR,Vedant Fashions Limited,2765608
172,UNOMINDA,UNO Minda Limited,2755450
173,AIAENG,AIA Engineering Limited,2738215
174,THERMAX,Thermax Limited,2731896
175,OIL,Oil India Limited,2728906
176,VOLTAS,Voltas Limited,2707464
177,3MINDIA,3M India Limited,2586894
178,COROMANDEL,Coromandel International Limited,2585081
179,SUNDARMFIN,Sundaram Finance Limited,2554833
180,KPITTECH,KPIT Technologies Limited,2536104
181,DEEPAKNTR,Deepak Nitrite Limited,2513178
182,ESCORTS,Escorts Kubota Limited,2495063
183,BIOCON,Biocon Limited,2477438
184,TATACHEM,Tata Chemicals Limited,2477377
185,TORNTPOWER,Torrent Power Limited,2453068
186,GMRINFRA,GMR Airports Infrastructure Limited,2447576
187,BHEL,Bharat Heavy Electricals Limited,2439185
188,SONACOMS,Sona BLW Precision Forgings Limited,2420648
189,DELHIVERY,Delhivery Limited,2416784
190,SYNGENE,Syngene International Limited,2386528
191,CRISIL,CRISIL Limited,2352052
192,GICRE,General Insurance Corporation of India,2344756
193,COFORGE,Coforge Limited,2329509
194,PHOENIXLTD,The Phoenix Mills Limited,2323555
195,JKCEMENT,JK Cement Limited,2259092
196,POONAWALLA,Poonawalla Fincorp Limited,2246207
197,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2244206
198,MFSL,Max Financial Services Limited,2191479
199,METROBRAND,Metro Brands Limited,2159328
200,MSUMI,Motherson Sumi Wiring India Limited,2133185
201,SUMICHEM,Sumitomo Chemical India Limited,2126860
202,RELAXO,Relaxo Footwears Limited,2118236
203,NAVINFLUOR,Navin Fluorine International Limited,2116258
204,SKFINDIA,SKF India Limited,2103956
205,CENTRALBK,Central Bank of India,2092106
206,GLAND,Gland Pharma Limited,2088684
207,KANSAINER,Kansai Nerolac Paints Limited,2084541
208,GRINDWELL,Grindwell Norton Limited,2079764
209,TIMKEN,Timken India Limited,2072615
210,IPCALAB,IPCA Laboratories Limited,2055892
211,SUNDRMFAST,Sundram Fasteners Limited,2055055
212,ATUL,Atul Limited,2053877
213,ZEEL,Zee Entertainment Enterprises Limited,2038702
214,L&TFH,L&T Finance Holdings Limited,2034570
215,ABFRL,Aditya Birla Fashion and Retail Limited,2033642
216,APOLLOTYRE,Apollo Tyres Limited,2031688
217,KPRMILL,K.P.R. Mill Limited,1976027
218,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,1974307
219,FORTIS,Fortis Healthcare Limited,1962136
220,AARTIIND,Aarti Industries Limited,1878315
221,HATSUN,Hatsun Agro Product Limited,1876431
222,CARBORUNIV,Carborundum Universal Limited,1871932
223,CROMPTON,Crompton Greaves Consumer Electricals Limited,1863440
224,VINATIORGA,Vinati Organics Limited,1858711
225,IIFL,IIFL Finance Limited,1855993
226,BATAINDIA,Bata India Limited,1822970
227,BDL,Bharat Dynamics Limited,1812102
228,LICHSGFIN,LIC Housing Finance Limited,1808332
229,RAJESHEXPO,Rajesh Exports Limited,1801381
230,RAMCOCEM,The Ramco Cements Limited,1787906
231,ENDURANCE,Endurance Technologies Limited,1746540
232,DEVYANI,Devyani International Limited,1742977
233,PSB,Punjab & Sind Bank,1738502
234,DIXON,Dixon Technologies (India) Limited,1704195
235,KAJARIACER,Kajaria Ceramics Limited,1678789
236,WHIRLPOOL,Whirlpool of India Limited,1668428
237,MAHABANK,Bank of Maharashtra,1665798
238,SUNTV,Sun TV Network Limited,1638801
239,PEL,Piramal Enterprises Limited,1618975
240,PRESTIGE,Prestige Estates Projects Limited,1616274
241,NIACL,The New India Assurance Company Limited,1603504
242,RADICO,Radico Khaitan Limited,1596867
243,PFIZER,Pfizer Limited,1586142
244,NH,Narayana Hrudayalaya Ltd.,1582059
245,EMAMILTD,Emami Limited,1581743
246,LAURUSLABS,Laurus Labs Limited,1577978
247,FIVESTAR,Five-Star Business Finance Limited,1575125
248,AJANTPHARM,Ajanta Pharma Limited,1548777
249,INDIAMART,Indiamart Intermesh Limited,1536775
250,360ONE,360 ONE WAM LIMITED,1533603
251,KEI,KEI Industries Limited,1532054
252,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1529252
253,LALPATHLAB,Dr. Lal Path Labs Ltd.,1524048
254,JSL,Jindal Stainless Limited,1522886
255,IRB,IRB Infrastructure Developers Limited,1518809
256,EXIDEIND,Exide Industries Limited,1512575
257,PVR,PVR Limited,1502596
258,GSPL,Gujarat State Petronet Limited,1495160
259,BLUEDART,Blue Dart Express Limited,1474205
260,NATIONALUM,National Aluminium Company Limited,1439919
261,RVNL,Rail Vikas Nigam Limited,1430324
262,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1429656
263,TRIDENT,Trident Limited,1424320
264,POWERINDIA,Hitachi Energy India Limited,1416989
265,MEDANTA,Global Health Limited,1413200
266,GILLETTE,Gillette India Limited,1406411
267,RATNAMANI,Ratnamani Metals & Tubes Limited,1389118
268,ELGIEQUIP,Elgi Equipments Limited,1388537
269,ISEC,ICICI Securities Limited,1382035
270,CGCL,Capri Global Capital Limited,1362980
271,GODREJIND,Godrej Industries Limited,1359514
272,CLEAN,Clean Science and Technology Limited,1346986
273,MAZDOCK,Mazagon Dock Shipbuilders Limited,1337306
274,MAHINDCIE,Mahindra CIE Automotive Limited,1330803
275,AEGISCHEM,Aegis Logistics Limited,1330115
276,FACT,Fertilizers and Chemicals Travancore Limited,1329086
277,BLUESTARCO,Blue Star Limited,1328313
278,SANOFI,Sanofi India Limited,1320898
279,FINEORG,Fine Organic Industries Limited,1320495
280,AFFLE,Affle (India) Limited,1315321
281,GLENMARK,Glenmark Pharmaceuticals Limited,1311235
282,NAM-INDIA,Nippon Life India Asset Management Limited,1308980
283,SJVN,SJVN Limited,1306657
284,REDINGTON,Redington Limited,1302471
285,AAVAS,Aavas Financiers Limited,1273409
286,IDFC,IDFC Limited,1256788
287,FINCABLES,Finolex Cables Limited,1242785
288,NUVOCO,Nuvoco Vistas Corporation Limited,1231832
289,BAJAJELEC,Bajaj Electricals Limited,1210481
290,APTUS,Aptus Value Housing Finance India Limited,1209715
291,SUVENPHAR,Suven Pharmaceuticals Limited,1202565
292,ASTERDM,Aster DM Healthcare Limited,1202328
293,RHIM,RHI MAGNESITA INDIA LIMITED,1184941
294,KEC,KEC International Limited,1173223
295,SONATSOFTW,Sonata Software Limited,1172596
296,AETHER,Aether Industries Limited,1166105
297,DCMSHRIRAM,DCM Shriram Limited,1165513
298,IEX,Indian Energy Exchange Limited,1140921
299,HAPPSTMNDS,Happiest Minds Technologies Limited,1127692
300,KIMS,Krishna Institute of Medical Sciences Limited,1121549
301,ALKYLAMINE,Alkyl Amines Chemicals Limited,1101423
302,CYIENT,Cyient Limited,1100498
303,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1099205
304,ASAHIINDIA,Asahi India Glass Limited,1099131
305,CASTROLIND,Castrol India Limited,1097431
306,BRIGADE,Brigade Enterprises Limited,1095283
307,KALYANKJIL,Kalyan Jewellers India Limited,1085161
308,TTML,Tata Teleservices (Maharashtra) Limited,1084007
309,VGUARD,V-Guard Industries Limited,1080458
310,NLCINDIA,NLC India Limited,1069790
311,LAXMIMACH,Lakshmi Machine Works Limited,1066409
312,TRITURBINE,Triveni Turbine Limited,1059007
313,FINPIPE,Finolex Industries Limited,1058534
314,AKZOINDIA,Akzo Nobel India Limited,1047678
315,MANAPPURAM,Manappuram Finance Limited,1046990
316,EIHOTEL,EIH Limited,1035916
317,CENTURYPLY,Century Plyboards (India) Limited,1035770
318,NATCOPHARM,Natco Pharma Limited,1028436
319,KIOCL,KIOCL Limited,1024364
320,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1022732
321,CAMPUS,Campus Activewear Limited,1015519
322,CAMS,Computer Age Management Services Limited,995035
323,AMARAJABAT,Amara Raja Batteries Limited,989175
324,ZYDUSWELL,Zydus Wellness Limited,986489
325,BASF,BASF India Limited,985008
326,TEJASNET,Tejas Networks Limited,977791
327,APLLTD,Alembic Pharmaceuticals Limited,975641
328,MGL,Mahanagar Gas Limited,971430
329,GRINFRA,G R Infraprojects Limited,971338
330,ANGELONE,Angel One Limited,970012
331,SFL,Sheela Foam Limited,969705
332,TTKPRESTIG,TTK Prestige Limited,969120
333,APARINDS,Apar Industries Limited,958591
334,HINDCOPPER,Hindustan Copper Limited,951068
335,CDSL,Central Depository Services (India) Limited,949644
336,GODFRYPHLP,Godfrey Phillips India Limited,946159
337,RENUKA,Shree Renuka Sugars Limited,938664
338,CUB,City Union Bank Limited,931814
339,JKLAKSHMI,JK Lakshmi Cement Limited,931241
340,ANURAS,Anupam Rasayan India Limited,929945
341,MRPL,Mangalore Refinery and Petrochemicals Limited,920991
342,GESHIP,The Great Eastern Shipping Company Limited,920206
343,POLYMED,Poly Medicure Limited,914014
344,NSLNISP,NMDC Steel Limited,909953
345,BIKAJI,Bikaji Foods International Limited,904723
346,MOTILALOFS,Motilal Oswal Financial Services Limited,902921
347,ABSLAMC,Aditya Birla Sun Life AMC Limited,896256
348,CESC,CESC Limited,883493
349,TATAINVEST,Tata Investment Corporation Limited,882736
350,ALLCARGO,Allcargo Logistics Limited,873816
351,KALPATPOWR,Kalpataru Power Transmission Limited,867869
352,PNBHOUSING,PNB Housing Finance Limited,866321
353,HUDCO,Housing & Urban Development Corporation Limited,865822
354,ITI,ITI Limited,856044
355,ROUTE,ROUTE MOBILE LIMITED,852912
356,RITES,RITES Limited,851990
357,VTL,Vardhman Textiles Limited,849166
358,RBLBANK,RBL Bank Limited,845961
359,HFCL,HFCL Limited,839744
360,KARURVYSYA,Karur Vysya Bank Limited,837096
361,CERA,Cera Sanitaryware Limited,832773
362,EIDPARRY,EID Parry India Limited,832025
363,INGERRAND,Ingersoll Rand (India) Limited,826750
364,GALAXYSURF,Galaxy Surfactants Limited,825883
365,PPLPHARMA,Piramal Pharma Limited,816827
366,UTIAMC,UTI Asset Management Company Limited,815164
367,KRBL,KRBL Limited,813978
368,RAYMOND,Raymond Limited,813564
369,ASTRAZEN,AstraZeneca Pharma India Limited,813200
370,VIPIND,VIP Industries Limited,811260
371,ACI,Archean Chemical Industries Limited,800398
372,BALRAMCHIN,Balrampur Chini Mills Limited,799363
373,SUZLON,Suzlon Energy Limited,795774
374,GODREJAGRO,Godrej Agrovet Limited,793048
375,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,791626
376,ERIS,Eris Lifesciences Limited,778012
377,PGHL,Procter & Gamble Health Limited,777855
378,MEDPLUS,Medplus Health Services Limited,775129
379,SAPPHIRE,Sapphire Foods India Limited,774012
380,DATAPATTNS,Data Patterns (India) Limited,770171
381,SUNCLAYLTD,Sundaram Clayton Limited,762426
382,JBMA,JBM Auto Limited,761512
383,EASEMYTRIP,Easy Trip Planners Limited,757908
384,CCL,CCL Products (India) Limited,755133
385,EQUITASBNK,Equitas Small Finance Bank Limited,745185
386,CHALET,Chalet Hotels Limited,744548
387,RAINBOW,Rainbow Childrens Medicare Limited,741470
388,PNCINFRA,PNC Infratech Limited,741142
389,FSL,Firstsource Solutions Limited,735325
390,KSB,Ksb Limited,729155
391,BSOFT,BIRLASOFT LIMITED,717824
392,KNRCON,KNR Constructions Limited,713492
393,SHOPERSTOP,Shoppers Stop Limited,711340
394,SYMPHONY,Symphony Limited,709469
395,CENTURYTEX,Century Textiles & Industries Limited,708151
396,CANFINHOME,Can Fin Homes Limited,704652
397,GRANULES,Granules India Limited,703618
398,TANLA,Tanla Platforms Limited,703250
399,JYOTHYLAB,Jyothy Labs Limited,699532
400,SPLPETRO,Supreme Petrochem Limited,696317
401,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,692667
402,CRAFTSMAN,Craftsman Automation Limited,687790
403,BIRLACORPN,Birla Corporation Limited,685502
404,BLS,BLS International Services Limited,680729
405,SHYAMMETL,Shyam Metalics and Energy Limited,670480
406,NCC,NCC Limited,666145
407,GMMPFAUDLR,GMM Pfaudler Limited,659073
408,LATENTVIEW,Latent View Analytics Limited,657939
409,USHAMART,Usha Martin Limited,653671
410,HOMEFIRST,Home First Finance Company India Limited,653569
411,JKPAPER,JK Paper Limited,646609
412,TMB,Tamilnad Mercantile Bank Limited,645441
413,JINDWORLD,Jindal Worldwide Limited,643169
414,METROPOLIS,Metropolis Healthcare Limited,639263
415,SAREGAMA,Saregama India Limited,638489
416,NBCC,NBCC (India) Limited,638100
417,ECLERX,eClerx Services Limited,632623
418,BALAMINES,Balaji Amines Limited,629649
419,WELSPUNIND,Welspun India Limited,628899
420,PRAJIND,Praj Industries Limited,626462
421,COCHINSHIP,Cochin Shipyard Limited,625803
422,ZENSARTECH,Zensar Technologies Limited,621067
423,AMBER,Amber Enterprises India Limited,614776
424,LEMONTREE,Lemon Tree Hotels Limited,612010
425,PRINCEPIPE,Prince Pipes And Fittings Limited,599794
426,TRIVENI,Triveni Engineering & Industries Limited,593542
427,GARFIBRES,Garware Technical Fibres Limited,593035
428,LXCHEM,Laxmi Organic Industries Limited,590658
429,STLTECH,Sterlite Technologies Limited,587870
430,CEATLTD,CEAT Limited,586749
431,BSE,BSE Limited,583777
432,SPARC,Sun Pharma Advanced Research Company Limited,581990
433,ALOKINDS,Alok Industries Limited,575968
434,ORIENTELEC,Orient Electric Limited,575159
435,INDIACEM,The India Cements Limited,573465
436,JUBLINGREA,Jubilant Ingrevia Limited,573332
437,KIRLOSENG,Kirloskar Oil Engines Limited,573211
438,TCIEXP,TCI Express Limited,571974
439,JMFINANCIL,JM Financial Limited,569053
440,NETWORK18,Network18 Media & Investments Limited,567970
441,BBTC,Bombay Burmah Trading Corporation Limited,566094
442,SWANENERGY,Swan Energy Limited,564255
443,GPPL,Gujarat Pipavav Port Limited,562966
444,KAYNES,Kaynes Technology India Limited,559796
445,VRLLOG,VRL Logistics Limited,558861
446,INTELLECT,Intellect Design Arena Limited,557277
447,SWSOLAR,Sterling and Wilson Renewable Energy Limited,553146
448,CHEMPLASTS,Chemplast Sanmar Limited,549984
449,QUESS,Quess Corp Limited,547804
450,ROLEXRINGS,Rolex Rings Limited,545265
451,MAHLIFE,Mahindra Lifespace Developers Limited,544509
452,ESABINDIA,Esab India Limited,543812
453,MHRIL,Mahindra Holidays & Resorts India Limited,543037
454,GOCOLORS,Go Fashion (India) Limited,542601
455,HGS,Hinduja Global Solutions Limited,540801
456,BORORENEW,BOROSIL RENEWABLES LIMITED,536152
457,GAEL,Gujarat Ambuja Exports Limited,532861
458,MAPMYINDIA,C.E. Info Systems Limited,532476
459,PRSMJOHNSN,Prism Johnson Limited,530286
460,RUSTOMJEE,Keystone Realtors Limited,527423
461,IRCON,Ircon International Limited,526689
462,RCF,Rashtriya Chemicals and Fertilizers Limited,526035
463,WELCORP,Welspun Corp Limited,524366
464,BEML,BEML Limited,523638
465,GRSE,Garden Reach Shipbuilders & Engineers Limited,521670
466,EPL,EPL Limited,516229
467,MINDACORP,Minda Corporation Limited,514379
468,GRAPHITE,Graphite India Limited,512959
469,HGINFRA,H.G. Infra Engineering Limited,510094
470,OLECTRA,Olectra Greentech Limited,508285
471,RELINFRA,Reliance Infrastructure Limited,507457
472,JUSTDIAL,Just Dial Limited,501835
473,RAIN,Rain Industries Limited,501323
474,IONEXCHANG,ION Exchange (India) Limited,500712
475,EDELWEISS,Edelweiss Financial Services Limited,496071
476,UJJIVANSFB,Ujjivan Small Finance Bank Limited,493535
477,TV18BRDCST,TV18 Broadcast Limited,492879
478,GPIL,Godawari Power And Ispat limited,491757
479,MTARTECH,Mtar Technologies Limited,486478
480,TCI,Transport Corporation of India Limited,486206
481,RTNINDIA,RattanIndia Enterprises Limited,485868
482,VSTIND,VST Industries Limited,485733
483,SAFARI,Safari Industries (India) Limited,485572
484,ACE,Action Construction Equipment Limited,484550
485,MAHSCOOTER,Maharashtra Scooters Limited,483811
486,DELTACORP,Delta Corp Limited,483347
487,GLS,Glenmark Life Sciences Limited,481409
488,GHCL,GHCL Limited,481322
489,INDIGOPNTS,Indigo Paints Limited,479856
490,MAHSEAMLES,Maharashtra Seamless Limited,479114
491,SUPRAJIT,Suprajit Engineering Limited,477178
492,KFINTECH,Kfin Technologies Limited,474263
493,GSFC,Gujarat State Fertilizers & Chemicals Limited,474188
494,J&KBANK,The Jammu & Kashmir Bank Limited,471606
495,RELIGARE,Religare Enterprises Limited,469161
496,MASTEK,Mastek Limited,469144
497,SIS,SIS LIMITED,467281
498,JINDALSAW,Jindal Saw Limited,466521
499,TEGA,Tega Industries Limited,465441
500,SYRMA,Syrma SGS Technology Limited,464130
501,AVANTIFEED,Avanti Feeds Limited,462486
502,STARCEMENT,Star Cement Limited,461302
503,IBULHSGFIN,Indiabulls Housing Finance Limited,459099
504,RKFORGE,Ramkrishna Forgings Limited,457444
505,CAPLIPOINT,Caplin Point Laboratories Limited,452342
506,VAIBHAVGBL,Vaibhav Global Limited,450209
507,RBA,Restaurant Brands Asia Limited,445580
508,JUBLPHARMA,Jubilant Pharmova Limited,444155
509,SHARDACROP,Sharda Cropchem Limited,441810
510,NIITLTD,NIIT Limited,439151
511,PCBL,PCBL LIMITED,438234
512,MASFIN,MAS Financial Services Limited,438116
513,SCI,Shipping Corporation Of India Limited,435988
514,PDSL,PDS Limited,434876
515,GUJALKALI,Gujarat Alkalies and Chemicals Limited,429765
516,ELECON,Elecon Engineering Company Limited,428772
517,CMSINFO,CMS Info Systems Limited,427611
518,VMART,V-Mart Retail Limited,427540
519,ICRA,ICRA Limited,426811
520,JSWHL,JSW Holdings Limited,425926
521,FDC,FDC Limited,425228
522,CSBBANK,CSB Bank Limited,425214
523,KTKBANK,The Karnataka Bank Limited,423778
524,MMTC,MMTC Limited,418500
525,ENGINERSIN,Engineers India Limited,418441
526,SUNTECK,Sunteck Realty Limited,417025
527,PRIVISCL,Privi Speciality Chemicals Limited,410783
528,PARADEEP,Paradeep Phosphates Limited,410507
529,SOBHA,Sobha Limited,408406
530,FUSION,Fusion Micro Finance Limited,403278
531,GMDCLTD,Gujarat Mineral Development Corporation Limited,402588
532,VIJAYA,Vijaya Diagnostic Centre Limited,399405
533,JAMNAAUTO,Jamna Auto Industries Limited,397228
534,ANANTRAJ,Anant Raj Limited,395884
535,SANSERA,Sansera Engineering Limited,395622
536,MFL,Meghmani Finechem Limited,392088
537,AHLUCONT,Ahluwalia Contracts (India) Limited,386284
538,BSHSL,Bombay Super Hybrid Seeds Limited,385854
539,TATACOFFEE,Tata Coffee Limited,384467
540,TEAMLEASE,Teamlease Services Limited,382874
541,JKTYRE,JK Tyre & Industries Limited,381658
542,VARROC,Varroc Engineering Limited,380973
543,GREENLAM,Greenlam Industries Limited,380914
544,JPPOWER,Jaiprakash Power Ventures Limited,380367
545,INFIBEAM,Infibeam Avenues Limited,378906
546,SPANDANA,Spandana Sphoorty Financial Limited,378234
547,HSCL,Himadri Speciality Chemical Limited,377753
548,BHARATRAS,Bharat Rasayan Limited,377172
549,RAJRATAN,Rajratan Global Wire Limited,377152
550,LAOPALA,La Opala RG Limited,376845
551,SARDAEN,Sarda Energy & Minerals Limited,376185
552,RALLIS,Rallis India Limited,375130
553,BOROLTD,Borosil Limited,374276
